DATE,DEPTH,TN
2018-03-26,1000,21.4
2018-03-26,1500,20.34
2018-03-26,2000,20.28
2018-03-26,2500,20.13
2018-04-18,100,23.74
2018-04-18,500,20.42
2018-04-18,1000,18.72
2018-04-18,1500,19.0
2018-04-18,2000,16.73
2018-04-18,2500,17.62
2018-05-08,100,19.71
2018-05-08,500,19.17
2018-05-08,1000,18.71
2018-05-08,1500,18.02
2018-05-08,2000,16.67
2018-05-08,2500,17.26
2018-06-21,100,19.46
2018-06-21,500,19.79
2018-06-21,1000,16.46
2018-06-21,1500,16.52
2018-06-21,2000,17.2
2018-06-21,2500,18.37
2018-07-12,0,
2018-08-01,100,14.98
2018-08-01,2500,13.43
2018-08-01,500,13.53
2018-08-01,1000,15.44
2018-08-01,1500,15.77
2018-08-01,2000,10.12
2018-09-20,100,17.14
2018-09-20,500,15.76
2018-09-20,1000,15.04
2018-09-20,1500,14.33
2018-09-20,2000,11.56
2018-09-20,2500,19.84
2018-09-20,1450,
2018-10-18,100,12.09
2018-10-18,500,11.47
2018-10-18,1000,10.21
2018-10-18,1500,9.2
2018-10-18,2000,10.8
2018-10-18,2500,11.24
2018-11-13,100,11.14
2018-11-13,500,10.68
2018-11-13,1000,10.56
2018-11-13,1500,11.45
2018-11-13,2000,11.51
2018-11-13,2500,13.78
2018-12-12,100,13.23
2018-12-12,500,12.88
2018-12-12,1000,14.03
2018-12-12,1500,12.33
2018-12-12,2000,12.12
2018-12-12,2500,13.99
2019-01-08,0,
2019-02-26,100,10.84
2019-02-26,500,11.61
2019-02-26,1000,11.69
2019-02-26,1500,11.82
2019-02-26,2000,13.82
2019-02-26,2500,15.54
2019-03-20,100,12.75
2019-03-20,500,12.99
2019-03-20,1000,12.44
2019-03-20,1500,15.68
2019-03-20,2000,16.25
2019-03-20,2500,15.8
2019-04-24,100,13.13
2019-04-24,500,12.0
2019-04-24,1000,13.86
2019-04-24,1500,11.29
2019-04-24,2000,10.27
2019-04-24,2500,18.14
2019-05-28,100,11.79
2019-05-28,500,12.5
2019-05-28,1000,12.34
2019-05-28,1500,10.44
2019-05-28,2000,11.38
2019-05-28,2500,15.21
2019-06-26,100,13.08
2019-06-26,500,12.62
2019-06-26,1000,11.43
2019-06-26,1500,11.75
2019-06-26,2000,11.71
2019-06-26,2500,14.14
2019-07-31,100,
2019-07-31,500,
2019-07-31,1000,
2019-07-31,1500,
2019-07-31,2000,
2019-07-31,2500,
2019-08-27,100,
2019-08-27,500,
2019-08-27,1000,
2019-08-27,1500,
2019-08-27,2000,
2019-08-27,2500,
1999-01-26,100,28.7
1999-01-26,500,28.9
1999-01-26,1000,29.9
1999-01-26,1500,27.6
1999-01-26,2000,27.7
1999-01-26,2500,30.1
1999-02-12,100,29.6
1999-02-12,500,31.3
1999-02-12,1000,30.8
1999-02-12,1500,31.0
1999-02-12,2000,28.7
1999-02-12,2500,31.1
1999-03-25,100,30.1
1999-03-25,500,30.1
1999-03-25,1000,30.6
1999-03-25,1500,26.6
1999-03-25,2000,25.6
1999-03-25,2500,30.3
1999-04-27,100,30.1
1999-04-27,500,24.5
1999-04-27,1000,23.2
1999-04-27,1500,28.9
1999-04-27,2000,28.7
1999-04-27,2500,30.8
1999-05-25,100,19.7
1999-05-25,500,25.9
1999-05-25,1000,21.7
1999-05-25,1500,21.9
1999-05-25,2000,23.4
1999-05-25,2500,29.9
1999-06-17,100,20.6
1999-06-17,500,38.6
1999-06-17,1000,25.2
1999-06-17,1500,25.6
1999-06-17,2000,37.4
1999-06-17,2500,38.5
1999-07-15,100,22.5
